mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,spectral_centroid,spectral_bandwidth,spectral_rolloff,jitter,shimmer,label
-315.0822430297761,-9.927290034686788,-10.864450846761597,16.20541893233941,-31.941899181618954,-8.700872534121991,-11.831828599698238,-6.062026900944186,-9.876075034991793,-8.70953145226752,-0.08441571074133296,2.1382093393598973,-2.7340229425576257,1513.3774782893386,1709.7129638015087,3542.0,0.018639078671972804,0.022149328759798893,real
-231.6676039996977,-8.864471732603382,-27.530578427991987,5.044932346656677,-16.341610955847713,-0.4850778441124272,-8.395711339253102,-6.572250915654248,-7.0104029389813896,-1.3499191763350757,-2.802770236314531,-1.0403301151933055,-14.49856917128527,1466.5541784159493,1596.8757257594982,3134.0,0.04846670509458664,0.05787481959914751,real
-338.40249065509715,-13.23805078844906,-33.886062211047346,-3.597700132016676,-21.14556694147826,-10.382384232765304,-10.064522700663998,-10.71592775324523,-6.426111756908802,1.9836329879350896,2.571209279890528,-1.690025616803998,-9.292738672467085,1446.4134630796261,1537.7136916597708,2911.0,0.01570359199273734,0.019198538912438737,real
-284.6618268959614,-6.156291319430298,-24.708751991870074,10.77456753973838,-30.810092953547766,-11.707307082008091,-17.93015399885638,-5.678143636285717,-6.459473785675061,-4.097351017711818,-0.9607055060511153,1.1013567324590368,-1.7722862237312873,1355.6967604068457,1548.098318351241,3062.0,0.025581725614304367,0.030607767858484496,real
-284.78872759743433,1.0580205413113795,-20.342427679770292,10.891305355860155,-34.179773342912895,-10.034341660539068,-17.507289747212095,-5.932915870199095,-3.5878634087544445,-6.751642868922769,-4.161402689601139,-1.9519645296716028,-3.384285895307893,1260.4808043584264,1513.3899316956918,2912.0,0.025503551508821453,0.030514315903982195,real
-295.14908588356684,-10.031763283465793,-18.711442324260894,14.681371600775597,-28.2506667147683,-9.054432695510224,-16.511824460020264,-5.5586479294764475,-5.432694563638584,-4.95843939697022,0.04591085883766354,0.9750815214894601,-2.728204479675496,1395.6742987907921,1589.0614345650997,3232.0,0.022806881117416494,0.0273154944006677,real
-280.1235772827406,-4.353855050705127,-25.266682590219652,9.671718886954935,-30.604005127856528,-11.902136651450245,-16.828957538711734,-4.690707508542026,-5.887942864285264,-4.7352266054715155,0.3348848056217717,1.9779796795938038,-1.1809990327222586,1342.614425761234,1534.0673870566875,3034.0,0.02670376854915445,0.03184523973692513,real
-339.6524759285857,-14.414313631910929,-7.526111023161413,15.735185317763666,-31.59364643361859,-8.791580273016137,-13.143654526352922,-3.8657925392204966,-4.274964780086234,-5.01992206364497,-0.4385920227139159,-1.6307665738487682,-2.1091951729024685,1521.4569433274787,1760.895647114296,3639.0,0.014426752853014108,0.01760682105212414,real
-208.77280043232486,-14.892474506719692,-40.62137252425627,2.0634063643844947,-12.574354424314604,-2.5593000056745088,-10.797951840895827,1.0855693542238352,-2.281317682993486,-6.882128190696229,-11.389100754091436,-0.3205847701204453,-1.5011579824510692,1561.0883585648,1557.9587247824509,3127.0,0.06502656053176176,0.07562315370438723,real
-228.4637174304863,-11.254079731157548,-30.22129370540691,3.7987183772233934,-16.353702459031346,-1.963600209134944,-9.069033227826884,-6.194662552381249,-7.9752431780706505,-0.9359213290920725,-1.6268401161551593,0.4059034310152377,-13.76827588037057,1523.2697489441402,1602.9042085503636,3200.0,0.05186908458979976,0.061321357935213774,real
-278.2161582914099,2.947980972544966,-25.297886579788457,8.396239479368438,-33.5666833258571,-11.788506140154443,-18.294024789845324,-7.996583336270567,-4.075555040757508,-6.153223365977989,-3.182821908643753,0.5809095872459547,-2.3300086577349886,1286.8302844437535,1467.6616783166826,2880.0,0.027686066130901382,0.032949044453155024,real
-283.12719202499125,-5.918156082835735,-24.769786805631686,10.80094896384333,-29.953483454306134,-12.12329105877746,-17.03960366369722,-4.791273123036068,-5.880607656884389,-3.6386043795060745,-0.1966420800137018,1.4953775081301617,-1.7165369333773235,1340.7890794915356,1537.6393497545241,3032.0,0.026006095933695378,0.031091354816091512,real
-301.8713090335833,-9.198231828428497,-15.007458499627779,17.802089342419332,-26.693274433917445,-11.452115280293755,-15.26653836773854,-3.837738825586196,-2.336994804161753,-1.3233287501986275,2.653411344185961,3.8665756201663495,-2.581218131518317,1456.9496589919816,1647.382637384844,3359.0,0.02189848174846133,0.026200468945650833,real
-252.40396551626304,-3.58053540593497,-21.64037628802707,7.331558645537353,-20.713548163264495,-3.265800632778155,-10.943083409637962,-7.823398442266979,-6.205104139606366,-2.2713890393836667,-4.095421710802017,-2.7083983219541525,-12.926611749927847,1372.0926504636657,1560.9317811895926,3004.0,0.037636258523095316,0.04614682186603532,real
-288.0937832502722,-3.2802677342406805,-14.282594465328565,18.018541489221402,-34.43103422366576,-10.847485793281477,-14.139349890444336,-1.8177251682529172,-4.801458906375156,-7.517754163866315,-2.761785431002659,-1.947478658362247,-6.050753364628808,1322.8842500746584,1551.3194203103328,3135.0,0.024643496995786895,0.02967072706319292,real
-334.4223689986495,-10.184902574878747,-33.598964915174285,-2.73315969376524,-20.26052157152222,-10.156039137801386,-10.964856609830795,-11.895262365768971,-3.968801731274356,3.110668125102405,-0.4814509282852463,-4.642409592033916,-8.546313185926333,1405.5525149220198,1502.4567145434623,2852.0,0.01662503311519128,0.020448025646952493,real
-281.90499257517524,-0.7721092424066575,-22.133871124072385,11.968132706434865,-30.902481995404397,-11.775793275805988,-17.800606359040973,-9.426110783343187,-8.30656168229313,-7.6556915131045375,-2.2555636180351235,2.1207636943839066,-2.042461257346101,1280.3171202966196,1499.854246928212,2897.0,0.026936067025966817,0.032251959733102895,real
-270.7869679405817,-0.9693943194641059,-15.283725161933072,11.355788109384573,-24.588662278063683,-4.766749105474464,-12.817078955596966,-7.430465556476754,-6.2442294969341985,-2.917196575334841,-2.085673399314169,-2.2156962837586365,-11.644850102464526,1285.9941633849212,1570.1759626050045,2988.0,0.03106352455214156,0.03895583233373655,real
-300.3386494770169,-9.399441821474388,-14.982014216645348,16.601467869820357,-28.36708425085273,-12.617976823178303,-15.731986391861467,-5.0332027393523076,-2.889356150468548,-1.5045645684222904,1.7871637943773986,2.5481146594620365,-3.1365835397271855,1467.4087288539974,1652.9537370910662,3372.0,0.022153115898821532,0.02645960908512658,real
-256.48835327426895,2.0821503923382325,-32.91596919195803,6.712602033018357,-17.82640090070547,-1.4802692390576861,-8.353921375328802,-3.754876695078714,-4.6913926834822055,-6.468112067268551,-7.825731480734248,-2.590188456847849,-6.089061908116402,1370.3428650373905,1519.6201454320621,2891.0,0.04124316983536841,0.053251666990027466,real
-330.54910831313896,-13.859364060769423,-37.54672455469924,-6.727506380989712,-22.045360398065043,-11.851189308020695,-9.787594480332976,-7.765709404172017,-10.875752654575354,-4.478868740122536,4.585057163657218,6.335375483791874,-6.8005023527317965,1446.409139415205,1516.168715235319,2847.0,0.018658625727557616,0.023000573996080326,real
-287.1292892368465,-7.2234483396152624,-18.452823422360503,15.710877434513131,-33.20036884402029,-8.954139618492597,-15.1595121006552,-0.915508337972112,-4.586125659937508,-6.942830838411066,-1.8811320027409675,-1.0269900452908276,-4.921914730748416,1321.1889153895397,1561.2568793551134,3134.0,0.024386887112067074,0.02910178133951301,real
